key,value,unit,source
segments.rock4_copper_frac,71,areas broken per node,ModTest 2026-09-22 parse-hits: 71 area indices logged on one node (PickaxeIron; Mining 21); earlier Club count 79
segments.mudpile_frac,20,areas broken per node,ModTest 2026-09-22
segments.mudpile2_frac,28,areas broken per node,ModTest 2026-09-22
segments.rock3_silver_frac,141,areas broken per node,ModTest 2026-09-22
segments.silvervein_frac,106,areas broken per node,ModTest 2026-09-22
segments.goldvein_frac,97,areas broken per node,ModTest 2026-09-22
cal.fall_s,14,s idle per tree (regen runs),ModTest 2026-09-22 Calib: fit to normal play Beech1 AxeStone LJ 8 (55/hr) and LJ 80 (122/hr) -> +5% / -5%; isolated single trees measure 17 (17.4 / 17.7 / 18.8 / 15.0)
hits.Beech1.AxeStone,29.3,hits per tree incl. log + 2 halves,ModTest 2026-09-22 Calib: 33/27/28 at Lumberjacking 0-8 (model 33/31/29)
rate.Beech1.AxeStone.8,55,trees/hr normal play,ModTest 2026-09-22 Calib: 3.5 trees in 228 s (Stone axe broke at 3:48 of a 5 min run) at Lumberjacking ~8 (model 58.2)
hits.Beech1.AxeStone.40,17.3,hits per tree incl. log + 2 halves,ModTest 2026-09-22 Calib: 19/15/18 at Lumberjacking 40; 42/38/38 s isolated (model 16.9 hits)
hits.Beech1.AxeStone.80,11.8,swings per tree incl. log + 2 halves,ModTest 2026-09-22 Calib: parse-hits 5 min normal play at Lumberjacking 80 (120 swings / 10.2 trees; 26% of swings split over 2+ objects; falling logs self-damage); 3 isolated trees 14.0 (model 11.7)
rate.Beech1.AxeStone.80,122,trees/hr normal play,ModTest 2026-09-22 Calib: 10 felled + 31 pieces in 300 s at Lumberjacking 80 incl. 1 death and 1 axe break (model 115); first-to-last swing span in the log 355 s = 103/hr
cal.stagger_s,2.0,s staggered (hits inside deal x2),ModTest 2026-09-22 Calib: replay of 40 logged Club hits on Boar/Neck/Greydwarf matches 38/40 multipliers at 1.8-2.2 s
hits.Boar.Club.0,2.4,hits per kill,ModTest 2026-09-22 Calib: parse-hits 3/1/3/2/3; isolated kills of spawned creatures, god mode on; 1 of 5 opened with a backstab (model 2.18 at that share)
hits.Neck.Club.0,1.2,hits per kill,ModTest 2026-09-22 Calib: parse-hits 2/1/1/1/1; 4 of 5 backstabbed (model 1.10)
hits.Greydwarf.Club.0,4.4,hits per kill,ModTest 2026-09-22 Calib: parse-hits 4/3/6/6/3; 3 of 5 backstabbed (model 4.41)
cal.melee_hit,0.86,share of combat swings that connect,ModTest 2026-09-22 Calib: Greydwarf nest SwordBronze 5 min; 111 of 129 swings hit
hits.Greydwarf.SwordBronze.0,2.18,hits per kill,ModTest 2026-09-22 Calib: nest 5 min normal play; 17 kills (model 2.24 with combo carry-over)
hits.Greydwarf_Elite.SwordBronze.0,8.43,hits per kill,ModTest 2026-09-22 Calib: nest 5 min; 7 kills; never staggered (model 8.54)
hits.Greydwarf_Shaman.SwordBronze.0,3.0,hits per kill,ModTest 2026-09-22 Calib: nest 5 min; 2 kills (model 3.01)
rate.Spawner_GreydwarfNest.SwordBronze.0,321,kills/hr normal play,ModTest 2026-09-22 Calib: 26 kills in 291 s (17 Greydwarf / 7 Brute / 2 Shaman); spawn-limited (cap 360: 1 per 10 s under 3 near); god mode on (server log)
cal.rock_multi,0.70,damage into broken areas per swing / unsplit swing,ModTest 2026-09-22 Calib: rock4_copper PickaxeIron 209 swings; split over touched colliders 0.824 x overkill/collapse waste 0.848
cal.hit_fraction,0.90,areas broken by player damage / areas,ModTest 2026-09-22 Calib: Mines stat 64 of 71 areas (rest collapsed)
hits.rock4_copper_frac.PickaxeIron.21,208,swings per node,ModTest 2026-09-22 Calib: Mining 21; unsplit swing 21.9 pickaxe dmg
rate.rock4_copper_frac.PickaxeIron.21,534,segments/hr normal play,ModTest 2026-09-22 Calib: god off 22:12:14-22:16:29; 38 areas / 99 swings in 256 s; 0.387 swings/s (stamina-limited; 99 stamina)
density.Beech1,17.49,per zone in Meadows,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
density.Birch1,2.0,per zone in Meadows,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
density.Oak1,0.13,per zone in Meadows,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
density.FirTree,5.26,per zone in Black Forest,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
density.Pinetree_01,7.46,per zone in Black Forest,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
density.MineRock_Tin,0.59,per zone in Black Forest,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
density.rock4_copper,0.17,per zone in Black Forest,ModTest 2026-09-22 count-world.py --biomes: 275 Meadows / 118 Black Forest zones
cal.speed_ms,3.8,m/s moving (median 2.5 s tick),ModTest 2026-09-22 Calib: 3 min Black Forest free roam from Playerstat Distance*; 610 m (72% walk/jog 26% run 2% air); quartiles 3.1 / 3.8 / 4.2; 3.4 incl. fights and looting
density.Spawner_Troll,0.0147,per zone in Black Forest,ModTest 2026-09-23 count-world.py --biomes (server world): 409 Black Forest / 94 Mountain / 130 Plains zones; 5 Spawner_Troll + 1 Troll; 9 TrollCave chests not counted
density.Spawner_StoneGolem,0.0213,per zone in Mountain,ModTest 2026-09-23 count-world.py --biomes (server world): 409 Black Forest / 94 Mountain / 130 Plains zones; 2 spawners
density.Spawner_GoblinBrute,0.0615,per zone in Plains,ModTest 2026-09-23 count-world.py --biomes (server world): 409 Black Forest / 94 Mountain / 130 Plains zones; 8 spawners (Fuling villages)
cal.engage_share,0.1,share of world spawns killed,ModTest 2026-09-23 Mountain night walk (god; tod 0; goto 4672 2624): 87 Wolf spawned (log) / 15 WolfMeat in 738 s; hunt_sim fit 0.07-0.1 at 3.8-5 m/s
rate.Wolf.walk,73,kills per night hr,ModTest 2026-09-23 same walk: 15 kills in 738 s; 242 coins picked up (~1180 c/hr vs Mountain target 520)
